"14952"|"193"|"CargosExercidos"|"Director Escola Preparatória de Castelo de Vide;"|"2010-08-07 00:13:53"
"15096"|"209"|"Comissoes"|"Grupo de Trabalho - Alteração do Código de Processo Penal (PPL 12-GOV, PJL 38-PCP, 173-CDS-PP, 178-PCP, 181-BE e 275-PSD)"|"2010-08-07 00:14:18"
"14951"|"193"|"CargosExercidos"|"Professor no Liceu Nacional de Portalegre;"|"2010-08-07 00:13:53"
"13590"|"16"|"CargosExercidos"|"MEMBRO"|"2010-08-07 00:05:29"
"13591"|"16"|"Condecoracoes"|"COMENDADOR DA ORDEM DA ESTRELA POLAR DA SUECIA"|"2010-08-07 00:05:29"
"14950"|"193"|"CargosExercidos"|"Relator Geral da Comissão de Segurança e Defesa da Assembleia Parlamentar do Atlantico Norte;"|"2010-08-07 00:13:53"
"15095"|"209"|"Comissoes"|"Grupo de Trabalho - Audição de Peticionantes"|"2010-08-07 00:14:18"
"15094"|"209"|"Comissoes"|"Grupo de Trabalho - Júri Prémio Direitos Humanos 2009"|"2010-08-07 00:14:18"
"13601"|"17"|"CargosExercidos"|"DIRECTOR"|"2010-08-07 00:05:30"
"14949"|"193"|"CargosExercidos"|"Membro da Comissão de Segurança e Defesa da Assembleia Parlamentar do Atlântico Norte;"|"2010-08-07 00:13:53"
"15093"|"209"|"Comissoes"|"Grupo de Trabalho - Análise e Reflexão do Processo Legislativo"|"2010-08-07 00:14:18"
"14948"|"193"|"CargosExercidos"|"Presidente da Sub-Comissão para a Cooperação Atlântica em matéria de Defesa e Segurança;"|"2010-08-07 00:13:53"
"13616"|"18"|"Condecoracoes"|"\"ORDEM DE CAVALEIRO\""|"2010-08-07 00:05:31"
"13617"|"18"|"Condecoracoes"|"MERITO DE 1. CLASSE (ALEMANHA)"|"2010-08-07 00:05:31"
"13614"|"18"|"CargosExercidos"|"DEPUTADO - I LEGISLATURA"|"2010-08-07 00:05:31"
"13615"|"18"|"Condecoracoes"|"LEGIAO DE HONRA, MERITO E ECONOMIA NACIONAL (FRANÇA)"|"2010-08-07 00:05:31"
"15092"|"209"|"Comissoes"|"Comissão eventual para o acompanhamento político do fenómeno da corrupção e para a análise integrada de soluções com vista ao seu combate [Coordenador GP]"|"2010-08-07 00:14:18"
"15091"|"209"|"Comissoes"|"Comissão de Defesa Nacional [Coordenador GP]"|"2010-08-07 00:14:18"
"14947"|"193"|"CargosExercidos"|"Presidente da Sub-Comissão para a Convergência e Cooperação Económica Este-Oeste;"|"2010-08-07 00:13:53"
"13625"|"19"|"CargosExercidos"|"LIDER"|"2010-08-07 00:05:33"
"13626"|"19"|"CargosExercidos"|"DEPUTADO"|"2010-08-07 00:05:33"
"14931"|"190"|"CargosExercidos"|"Monitor de História das Instituições na Faculdade de Direito da Universidade Clássica de Lisboa"|"2010-08-07 00:13:49"
"14932"|"190"|"CargosExercidos"|"Líder do PS na Assembleia Municipal de Lisboa e na Assembleia da Área Metropolitana de Lisboa"|"2010-08-07 00:13:49"
"14933"|"190"|"CargosExercidos"|"Membro da Entreculturas - Secretário Coordenador dos Programas de Educação Multicultural do Ministério da Educação"|"2010-08-07 00:13:49"
"14934"|"190"|"HabilitacoesLiterarias"|"Licenciatura em Direito"|"2010-08-07 00:13:49"
"14935"|"193"|"CargosDesempenha"|"Deputado na X Legislatura"|"2010-08-07 00:13:53"
"14936"|"193"|"CargosExercidos"|"Deputado à Assembleia Constituinte, I, II, III, IV, V, VI, VII, VIII e IX Legislaturas;"|"2010-08-07 00:13:53"
"14937"|"193"|"CargosExercidos"|"Presidente Comissão Parlamentar de Defesa Nacional;"|"2010-08-07 00:13:53"
"14938"|"193"|"CargosExercidos"|"Secretário de Estado da Defesa Nacional;"|"2010-08-07 00:13:53"
"14939"|"193"|"CargosExercidos"|"Secretário de Estado do Desporto;"|"2010-08-07 00:13:53"
"14940"|"193"|"CargosExercidos"|"Secretário de Estado da Administração Regional e Local;"|"2010-08-07 00:13:53"
"14941"|"193"|"CargosExercidos"|"Governador Civil de Portalegre;"|"2010-08-07 00:13:53"
"14942"|"193"|"CargosExercidos"|"Presidente da Assembleia Municipal de Portalegre;"|"2010-08-07 00:13:53"
"14943"|"193"|"CargosExercidos"|"Membro das Comissões de Administração Interna, Poder local e da Juventude da Assembleia da República;"|"2010-08-07 00:13:53"
"14944"|"193"|"CargosExercidos"|"Membro da Assembleia Parlamentar da União da Europa Ocidental;"|"2010-08-07 00:13:53"
"14945"|"193"|"CargosExercidos"|"Membro da Comissão de Defesa da Assembleia Parlamentar da União da Europa Ocidental;"|"2010-08-07 00:13:53"
"14946"|"193"|"CargosExercidos"|"Vice Presidente da Comissão Económica da Assembleia do Atlântico Norte;"|"2010-08-07 00:13:53"
"15090"|"209"|"Comissoes"|"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias [Coordenador GP]"|"2010-08-07 00:14:18"
"15089"|"209"|"CargosExercidos"|"Deputado e Vice-Presidente da Assembleia da República na X Legislatura;"|"2010-08-07 00:14:18"
"15088"|"209"|"CargosExercidos"|"Vice-Presidente da Assembleia da República e Deputado na IX legislatura"|"2010-08-07 00:14:18"
"15087"|"209"|"CargosExercidos"|"Vice-Presidente da Assembleia da República (IX Leg. desde Outubro de 2004);"|"2010-08-07 00:14:18"
"15086"|"209"|"CargosExercidos"|"Membro da Comissão Eventual para a Reforma do Sistema Político (IX Leg.);"|"2010-08-07 00:14:18"
"14930"|"190"|"CargosExercidos"|"Deputado à Assembleia da República nas I, III, VI, VII e VIII Legislaturas"|"2010-08-07 00:13:49"
"14929"|"190"|"CargosExercidos"|"Alto Comissário para a Imigração e Minorias Étnicas do XIII e XIV Governo Constitucional(1996-2002)"|"2010-08-07 00:13:49"
"13664"|"20"|"CargosExercidos"|"Membro da Assembleia de Representantes da Faculdade de Economia de Coimbra."|"2010-08-07 00:05:34"
"13665"|"20"|"HabilitacoesLiterarias"|"Licenciatura em Economia pela Universidade de Coimbra"|"2010-08-07 00:05:34"
"13663"|"20"|"CargosExercidos"|"Presidente da C.P.D. de Coimbra da J.S.D.;"|"2010-08-07 00:05:34"
"13662"|"20"|"CargosExercidos"|"Vogal da C.P.N. da J.S.D.;"|"2010-08-07 00:05:34"
"13661"|"20"|"CargosExercidos"|"Presidente da C.P.D. de Coimbra do P.P.D./P.S.D.;"|"2010-08-07 00:05:34"
"13659"|"20"|"CargosExercidos"|"Membro da Direcção da A.L.T.A.N.;"|"2010-08-07 00:05:34"
