"Governo"|"MP_id"|"Nome deputado"|"Nome do cargo"|"Data de início"|"Data de fim"
"GC11"||"Eurico de Melo"|"Ministro da Defesa Nacional"|17-08-1987|05-01-1990
"GC11"||"Eurico de Melo"|"Vice Primeiro-Ministro"|17-08-1987|05-01-1990
"GC11"||"Manuel Dias Loureiro"|"Ministro dos Assuntos Parlamentares"|05-01-1990|30-10-1991
"GC11"||"António Capucho"|"Ministro dos Assuntos Parlamentares"|17-08-1987|30-10-1991
"GC11"||"Miguel Beleza"|"Ministro das Finanças"|05-01-1990|30-10-1991
"GC11"||"Miguel José Ribeiro Cadilhe"|"Ministro das Finanças"|17-08-1987|05-01-1990
"GC11"|376|"Luís Valente de Oliveira"|"Ministro do Planeamento e Administração do Território"|17-08-1987|30-10-1991
"GC11"||"Manuel Pereira"|"Ministro da Administração Interna"|05-01-1990|30-10-1991
"GC11"||"José Silveira Godinho"|"Ministro da Administração Interna"|17-08-1987|05-01-1990
"GC11"||"Álvaro Laborinho Lúcio"|"Ministro da Justiça"|05-03-1990|30-10-1991
"GC11"||"Fernando Nogueira"|"Ministro da Justiça"|17-08-1987|30-10-1991
"GC11"||"João de Deus Pinheiro"|"Ministro dos Negócios Estrangeiros"|17-08-1987|30-10-1991
"GC11"||"Arlindo Cunha"|"Ministro da Agricultura, Pescas e Alimentação"|05-01-1990|30-10-1991
"GC11"||"Álvaro Barreto"|"Ministro da Agricultura, Pescas e Alimentação"|17-08-1987|05-01-1990
"GC11"||"Luís Mira Amaral"|"Ministro da Indústria e Energia"|17-08-1987|30-10-1991
"GC11"||"Roberto Carneiro"|"Ministro da Educação"|17-08-1987|30-10-1991
"GC11"||"Joaquim Ferreira do Amaral"|"Ministro das Obras Públicas, Transportes e Comunicações"|09-11-1990|30-10-1991
"GC11"||"João Maria Oliveira Martins"|"Ministro das Obras Públicas, Transportes e Comunicações"|17-08-1987|09-11-1990
"GC11"||"Arlindo de Carvalho"|"Ministro da Saúde"|05-01-1990|30-10-1991
"GC11"||"Leonor Beleza"|"Ministro da Saúde"|17-08-1987|05-01-1990
"GC11"||"José Silva Peneda"|"Ministro do Emprego e da Segurança Social"|17-08-1987|30-10-1991
"GC11"||"Fernando Faria de Oliveira"|"Ministro do Comércio e Turismo"|09-11-1990|30-10-1991
"GC11"||"Joaquim Ferreira do Amaral"|"Ministro do Comércio e Turismo"|17-08-1987|09-11-1990
"GC11"||"António Couto dos Santos"|"Ministro Adjunto da Juventude"|17-08-1987|30-10-1991
"GC11"||"Carlos Borrego"|"Ministro do Ambiente e Recursos Naturais"|24-04-1991|30-10-1991
"GC11"||"Fernando Real"|"Ministro do Ambiente e Recursos Naturais"|05-01-1990|30-10-1991
"GC11"||"Duarte Ivo Cruz"|"Subsecretário de Estado Adjunto do Ministro dos Negócios Estrangeiros"|05-03-1990|30-10-1991
"GC11"||"Luís Marques Guedes"|"Subsecretário de Estado da Presidência do Conselho de Ministros"|09-01-1990|30-10-1991
"GC11"||"Isabel Corte Real"|"Subsecretário de Estado da Modernização Administrativa"|31-01-1989|30-10-1991
"GC12"||||31-10-1991|
