José J. Carvalho Ribeiro ,PSD  ,Águeda 
Portalegre ,Rui G. Marques Simplício ,PS 
Sousel ,Artur R. Torres Pereira ,PSD 
Amarante ,Joaquim J. Macedo Teixeira ,PSD 
Baião ,Artur M. S. Carvalho Borges ,PS 
Felgueiras ,Júlio M. C. Lopes Faria ,PS 
Gondomar ,Manuel A Sousa Neves ,PS 
Lousada ,Amílcar A. Leite Neto ,PSD 
Maia ,José Vieira Carvalho ,PSD 
Marco de Canavezes ,Avelino Ferreira Torres ,CDS 
Matosinhos ,José N. Rodrigues Miranda ,PS 
Paços de Ferreira ,Fernando M. Matos Vasconcelos ,PSD 
Paredes ,Jorge M. F. Queirós Malheiro ,CDS 
Penafiel ,António J. C. Luis Fundo ,PS 
Porto ,Fernando S. Cabral Monteiro ,PSD 
Póvoa Varzim ,Manuel Vaz Silva ,CDS 
Santo Tirso ,Joaquim B. Ferreira Couto ,PS 
Valongo ,João Moreira Dias ,PS 
Vila do Conde ,Mário H. Moreira Almeida ,PS 
V. Nova Gaia ,Mário Pinto Simões ,PSD 
Abrantes ,José Santos Jesus ,PS  
Alcanena ,Carlos M. Carvalho Cunha ,PS 
Almeirim ,Alfredo Bento Calado ,PRD  
Alpiarça ,Armindo J. Gaspar Pinhão ,APU  
Benavente ,António José Ganhão ,APU  
Cartaxo ,Renato A. Vieira Campos ,PS 
Chamusca ,Sérgio M. Conceição Carrinho ,APU  
Constância ,António M. Santos Mendes ,APU  
Coruche ,António Silva Teles ,APU  
Entroncamento ,José Pereira Cunha ,PS 
Ferreira do Zêzere ,António Teixeira Antunes ,PSD 
Golegã ,José E. Melancia Godinho ,PS  
Mação ,Elvino V. Silva Pereira ,PSD 
Rio Maior ,Silvino M. Gomes Sequeira ,PS 
Salvaterra de Magos ,António S. Ferreira Moreira ,PS 
Santarém ,Ladislau Teles Botas ,PS 
Sardoal ,Maria F. Santos Chambel ,PS 
Tomar ,José F. Ferreira Graça ,PSD 
Torres Novas ,Casimiro Gomes Pereira ,PSD 
Vila Nova da Barquinha ,Vitor Dias Silva ,PSD 
Vila Nova de Ourém ,Mário S. Coutinho Albuquerque ,PSD 
Alcácer do Sal ,Graciete Santos Baião ,APU  
Alcochete ,Miguel Boieiro ,APU  
Almada ,José Martins Vieira ,APU  
Barreiro ,Helder S. Nobre Madeira ,APU  
Grândola ,António J. Figueira Mendes ,APU 
Moita ,José L. Lopes Pereira ,APU 
Montijo ,João J. Primo Jaleco ,PS 
Palmela ,António Ferreira Costa ,APU  
Santiago do Cacém ,Sérgio Brígido Martins ,APU  
Seixal ,Eufrázio F. Garcez José ,APU  
Sesimbra ,Ezequiel Lino ,APU  
Setúbal ,Manuel Mata Cáceres ,PS 
Sines ,Francisco M. P. O Pacheco ,APU  
Arcos de Valdevez ,Américo Sequeira ,PSD 
Caminha ,José J. Pita Guerreiro ,PS 
Melgaço ,António R. Esteves Solheiro ,PS 
Monção ,Joaquim Vieira Magalhães ,PSD 
Paredes de Coura ,José Sousa Guerreiro ,PS 
Ponte da Barca ,Gastão C. S. Mendes Guimarães ,PSD 
Ponte de Lima ,Francisco M. Abreu Lima ,CDS 
Valença ,Mário Marques Pedra ,PSD 
Viana do Castelo ,Manuel L. Pires Araújo ,PSD 
Vila Nova de Cerveira ,Germano Lopes Cantinho ,PSD 
Alijó ,Anibal A. Santos Ferreira ,PSD 
Boticas ,José J. Sousa Fernandes ,PSD 
Chaves ,Manuel Branco Teixeira ,PSD 
Mesão Frio ,António N. Teixeira Silva ,PSD 
Mondim de Basto ,Fernando C. B. Pinto Moura ,CDS 
Montalegre ,José A. Carvalho Moura ,PSD 
Murça ,Belmiro M. Morais Vilela ,PSD 
Peso da Régua ,António R. C. Santos Aguiar ,PS 
Ribeira de Pena ,João J. Álvares Pereira ,PSD 
Sabrosa ,José M. Ferreira Araújo ,PSD 
Santa Marta de Penaguião ,Artur J. Lourenço Vaz ,PS 
Valpaços ,Francisco Batista Tavares ,PSD 
Vila Pouca de Aguiar ,António Gil ,PSD 
Vila Real ,Armando Afonso Moreira ,PSD 
Armamar ,Amâncio Cardoso Carvalho ,PSD 
Carregal do Sal ,Artur J. Saraiva Silva ,PSD 
Castro Daire ,César Costa Santos ,PSD 
Cinfães ,Américo Freitas Gonçalves ,PS 
