Deniz Cruz de Ramos Padeiro ,PPD / PSD ,Águeda 
Santiago do Cacém ,Ramiro Francisco Guiomar Beja ,PCP / PEV 
Seixal ,Eufrázio Filipe Garcez José ,PCP / PEV 
Sesimbra ,Ezequiel Lino ,PCP / PEV 
Setúbal ,Manuel da Mata de Cáceres ,PS 
Sines ,Francisco Maria P. do O Pacheco ,PCP / PEV 
Arcos de Valdevez ,Francisco Rodrigues de Araújo ,PPD / PSD 
Caminha ,Valdemar Augusto Pais Patrício ,PS 
Melgaço ,António Rui Esteves Solheiro ,PS 
Monção ,Armindo Guedes da Ponte ,PPD / PSD 
Paredes de Coura ,António Pereira Júnior ,PS 
Ponte da Barca ,António Cabral de Oliveira ,PPD / PSD 
Ponte de Lima ,José D. R. Capelo da Rocha ,CDS - PP 
Valença ,Alberto Magno P. de Castro ,PPD / PSD 
Viana do Castelo ,Defensor Oliveira Moura ,PS 
Vila Nova de Cerveira ,José Manuel Vaz Carpinteira ,PS 
Alijó ,Joaquim Alberto Oliveira Cerca ,PS 
Boticas ,Fernando Pereira Campos ,PPD / PSD 
Chaves ,Alexandre António Alves Chaves ,PS 
Mesão Frio ,Marco António P. T. da Silva ,PPD / PSD 
Mondim de Basto ,Fernando Carvalho B. P. de Moura ,CDS - PP 
Montalegre ,Joaquim Lopes Pires ,PS 
Murça ,José Gomes ,PPD / PSD 
Peso da Régua ,Álvaro da Costa Mota ,PPD / PSD 
Ribeira de Pena ,João José Alves Pereira ,PPD / PSD 
Sabrosa ,Milcíades E. C. B. de Carvalho ,PS 
Santa Marta de Penaguião ,Artur João Lourenço Vaz ,PS 
Valpaços ,Francisco Baptista Tavares ,PPD / PSD 
Vila Pouca de Aguiar ,Carlos Alberto C. Ambrósio ,PS 
Vila Real ,Manuel do Nascimento Martins ,PPD / PSD 
Armamar ,Hernani Pinto da F. Almeida ,PPD / PSD 
Carregal do Sal ,Atílio dos Santos Nunes ,PPD / PSD 
Castro Daire ,João Augusto Matias Pereira ,PPD / PSD 
Cinfães ,Manuel da C. Pinto Ferreira ,PPD / PSD 
Lamego ,Rui Paulo do Vale Valadares ,PS 
Mangualde ,Mário Videira Lopes ,PS 
Moimenta da Beira ,José Agostinho Gomes Correia ,PPD / PSD 
Mortágua ,Afonso Sequeira Abrantes ,PS 
Nelas ,José Lopes Correia ,PS 
Oliveira de Frades ,João Carlos Azevedo Maia ,PPD / PSD 
Penalva do castelo ,Gabriel de Albuquerque ,CDS - PP 
Penedono ,João Manuel R. de Carvalho ,PPD / PSD 
Resende ,Albino H. de Almeida Brito ,PPD / PSD 
Santa Comba Dão ,Orlando F. de Carvalho Mendes ,PS 
São João da Pesqueira ,António José Lima Costa ,PPD / PSD 
São Pedro do Sul ,Manuel B. d’Almeida Pinho ,PS 
Sátão ,Luis Manuel de M. Cabral ,PPD / PSD 
Sernancelhe ,José Mário Almeida Cardoso ,PPD / PSD 
Tabuaço ,José Carlos Pinto dos Santos ,PPD / PSD 
Tarouca ,Lucílio F. Assunção Teixeira ,PPD / PSD 
Tondela ,António Manuel Tenreiro da Cruz ,PPD / PSD 
Vila Nova de Paiva ,Avantino Loureiro Beleza ,CDS - PP 
Viseu ,Fernando Carvalho Ruas ,PPD / PSD 
Vouzela ,Paulo A de Figueiredo Matos ,PS 
Angra do Heroísmo ,Joaquim Carlos V. da Ponte ,PPD / PSD 
Calheta ,José Leovigildo de S. Azevedo ,PPD / PSD 
Santa Cruz da Graciosa  ,Luis Manuel de Lemos Reis  ,PPD / PSD 
Velas  ,António José B. da Silveira ,PPD / PSD 
Vila Praia da Vitória  ,José Fernandes Diniz Gomes ,PPD / PSD 
Corvo   ,Manuel das Pedras Rita ,PPD / PSD 
Horta  ,Renato Luis Pereira Leal ,PS 
Lajes das Flores  ,Albino Cristiano Alves Gomes ,PPD / PSD 
Lajes do Pico  ,Cláudio José Gomes Lopes ,PPD / PSD 
Madalena  ,Henrique de Faria Paulus ,PPD / PSD 
Santa Cruz das Flores ,João Manuel de Sousa  ,PSD  
São Roque do Pico  ,Manuel Joaquim Neves Costa ,PPD / PSD 
Lagoa ,Luis Alberto M. Martins Mota ,PS  
Nordeste  ,José Carlos Barbosa Carreiro ,PPD / PSD 
Ponta Delgada  ,Manuel Ribeiro Arruda ,PPD / PSD 
Povoação  ,Carlos Emílio L. Machado Ávila ,PS 
Ribeira Grande  ,António Pedro Rebelo Costa ,PPD / PSD 
Vila Franca de Campo  ,José Estevam Pacheco de Melo ,PPD / PSD 
Vila do Porto  ,Alberto da Silva Costa ,PS  
Calheta  ,Manuel Baeta de Castro ,PPD / PSD 
Câmara de Lobos  ,Gabriel Gregório N. Ornelas ,PPD / PSD 
Funchal  ,Virgílio Higino G. Pereira ,PPD / PSD 
Machico  ,José Martins Júnior ,PS 
Ponta do Sol  ,António do Vale da Silva Lobo ,PPD / PSD 
Porto Moniz ,António Geremias de Sousa ,PPD / PSD 
Porto Santo  ,José Jorge de Gois Mendonça ,PS 
Ribeira Brava  ,José Ismael Fernandes ,PPD / PSD 
Santa Cruz  ,Luis Gabriel Andrade Rodrigues ,PPD / PSD 
Santana  ,Carlos de Sousa Pereira ,PPD / PSD 
São Vicente  ,Gabriel Paulo D. Esmeraldo  ,PPD / PSD 
