José Carvalho Ribeiro ,PSD  ,Águeda 
Moimenta da Beira ,Alexandre Gomes Cardia ,CDS 
Mortágua ,Afonso Sequeira Abrantes ,PS 
Nelas ,José Lopes Correia ,PS 
Oliveira de Frades ,João Carlos Azevedo Maia ,PSD 
Penalva do castelo ,Leonídio F. Gomes Monteiro ,PSD 
Penedono ,João M. Rodrigues Carvalho ,PSD 
Resende ,Albino H. A. Brito Matos ,PSD 
Santa Comba Dão ,Orlando F. Carvalho Mendes ,PS 
São João da Pesqueira ,João Nascimento Costa ,PSD 
São Pedro do Sul ,Manuel B. Almeida Pinho ,PS 
Sátão ,Luis Manuel Magalhães Cabral ,CDS 
Sernancelhe ,José M. Almeida Cardoso ,PSD 
Tabuaço ,José Carlos Pinto Santos ,PSD 
Tarouca ,Lucílio F. Assunção Teixeira ,PSD 
Tondela ,António M. Tenreiro Cruz ,PSD 
Vila Nova de Paiva ,Luis Fernando Pereira Souto ,PSD 
Viseu ,Fernando Carvalho Ruas ,PSD 
Vouzela ,João Martins Ribeiro ,PS 
Angra do Heroísmo ,Joaquim C. Vasconcelos Ponte ,PSD  
Calheta ,José Leovigildo Sousa Azevedo ,PSD  
Santa Cruz da Graciosa  ,Luis Manuel Lemos Reis  ,PSD  
Velas  ,António F. Correia Maciel ,PS / CDS 
Vila Praia da Vitória  ,Carlos Virgílio Costa Lima ,PS / CDS 
Corvo   ,João D. Cardigos Reis ,PS 
Horta  ,Renato Luis Pereira Leal ,PS 
Lajes das Flores  ,Albino Cristiano Alves Gomes ,PSD  
Lajes do Pico  ,Manuel P. C. Ribeiro Costa ,PS  
Madalena  ,Armando M. Vieira Castro ,PS 
Santa Cruz das Flores ,João Manuel Sousa  ,PSD  
São Roque do Pico  ,António Simas Costa ,PS 
Lagoa ,Luis A M. Martins Mota ,PS  
Nordeste  ,José Carlos Barbosa Carreiro ,PSD  
Ponta Delgada  ,Mário J. Rodrigues Machado ,PS / CDS 
Povoação  ,António M. Medeiros Ferreira  ,PSD  
Ribeira Grande  ,Hermano E. Attayde Motta ,PSD  
Vila Franca de Campo  ,José Estevam Pacheco Melo ,PSD  
Vila do Porto  ,José Humberto Chaves ,PS  
Calheta  ,Manuel Silva Leca ,PSD  
Câmara de Lobos  ,Gabriel G. Nascimento Ornelas ,PSD  
Funchal  ,João Heliodoro Silva Dantas ,PSD  
Machico  ,José Martins Júnior ,UDP 
Ponta do Sol  ,António Vale Silva Lobo ,PSD  
Porto Moniz ,Manuel Ildefonso Castro ,PSD 
Porto Santo  ,José Jorge Gois Mendonça ,PS 
Ribeira Brava  ,José Manuel Vieira Pita ,PSD  
Santa Cruz  ,Luis G. Andrade Rodrigues ,PSD  
Santana  ,Carlos Sousa Pereira ,PSD  
São Vicente  ,Gabriel P. Drumond Esmeraldo  ,PSD  
