Penalva do castelo ,Gabriel A Costa ,PPM  
Penedono ,João Manuel Rodrigues Carvalho ,PPD / PSD 
Resende ,Albino Hermenegido A. B. Matos ,PPD / PSD 
Santa Comba Dão ,Orlando Fernandes C. Mendes ,PS 
São João da Pesqueira ,António José Lima Costa ,PPD / PSD 
São Pedro do Sul ,Manuel Bandeira Almeida Pinho ,PS 
Sátão ,Luis Manuel Magalhães Cabral ,PPD / PSD 
Sernancelhe ,José Mário Almeida Cardoso ,PPD / PSD 
Tabuaço ,José Carlos Pinto dos Santos ,PPD / PSD 
Tarouca ,Mário Caetano T. Ferreira ,PS 
Tondela ,António Manuel Tenreiro Cruz ,PPD / PSD 
Vila Nova de Paiva ,Carlos Fernando Diogo Pires ,PS 
Viseu ,Fernando Carvalho Ruas ,PPD / PSD 
Vouzela ,Paulo Amaral Figueiredo ,PS 
Angra do Heroísmo ,Sérgio Humberto Rocha de Ávila ,PS 
Calheta ,José Leovigildo de S. Azevedo ,PPD / PSD 
Santa Cruz da Graciosa  ,Luis Manuel Lemos Reis  ,PPD / PSD 
Velas  ,António José B. Silveira ,PPD / PSD 
Vila Praia da Vitória  ,José Fernando Diniz Gomes ,PPD / PSD 
Corvo   ,Manuel das Pedras Rita ,PPD / PSD 
Horta  ,Renato Luis Pereira Leal ,PS 
Lajes das Flores  ,João António Vieira Lourenço ,PPD / PSD 
Lajes do Pico  ,Cláudio José Gomes Lopes ,PPD / PSD 
Madalena  ,Jorge Manuel Pereira Rodrigues ,PPD / PSD 
Santa Cruz das Flores ,Vasco Manuel de Avelar ,PPD / PSD 
São Roque do Pico  ,Manuel Joaquim Neves Costa ,PPD / PSD 
Lagoa ,Luis Alberto M. Martins Mota ,PS  
Nordeste  ,José Carlos Barbosa Carreiro ,PPD / PSD 
Ponta Delgada  ,Manuel Ribeiro Arruda ,PPD / PSD 
Povoação  ,Carlos Emílio L. Machado Ávila ,PS 
Ribeira Grande  ,António Pedro Rebelo Costa ,PPD / PSD 
Vila Franca do Campo  ,Rui António Dias C. C. e Melo ,PPD / PSD 
Vila do Porto  ,Alberto da Silva Costa ,PS  
Calheta  ,Manuel Baeta de Castro ,PPD / PSD 
Câmara de Lobos  ,Gabriel Gregório N. de Ornelas ,PPD / PSD 
Funchal  ,Miguel Filipe M. Albuquerque ,PPD / PSD 
Machico  ,Lino Bernardo Calaca Martins ,PS 
Ponta do Sol  ,António do Vale da Silva Lobo ,PPD / PSD 
Porto Moniz ,António Geremias de Sousa ,PPD / PSD 
Porto Santo  ,Roberto Paulo Cardoso da Silva ,PPD / PSD 
Ribeira Brava  ,José Ismael Fernandes ,PPD / PSD 
Santa Cruz  ,José Savino dos Santos Correia ,PPD / PSD 
Santana  ,Carlos de Sousa Pereira ,PPD / PSD 
São Vicente  ,João Duarte Mendes ,PPD / PSD 
