Carregal do Sal ,Artur J. S. Pereira Silva ,AD 
Castro Daire ,César Costa Santos ,PSD 
Cinfães ,Manuel C. Pinto Ferreira ,PSD 
Lamego ,António Ferreira ,PSD 
Mangualde ,Mário M. Videira Lopes ,PS 
Moimenta da Beira ,Manuel Ferreira Pinto ,PSD 
Mortágua ,Bráulio Afonso Sousa ,PSD 
Nelas ,José Lopes Correia ,AD 
Oliveira de Frades ,Manuel Silva Almeida ,AD 
Penalva do castelo ,Gabriel Albuquerque Costa ,CDS 
Penedono ,António Manuel Gonçalves ,AD 
Resende ,Albino H. A. Brito Matos ,PSD 
Santa Comba Dão ,José J. Gonçalves Santos ,AD 
São João da Pesqueira ,João Nascimento Costa ,CDS 
São Pedro do Sul ,Manuel A. Gomes Martins ,PSD 
Sátão ,Júlio R. Costa Moniz ,CDS 
Sernancelhe ,Franclin Quintais Silva ,AD 
Tabuaço ,Boaventura Gonçalves Freitas ,CDS 
Tarouca ,Deodato Ferreira Pais ,AD 
Tondela ,António M. Tenreiro Cruz ,CDS 
Vila Nova de Paiva ,António A. Conde Rebelo ,PSD 
Viseu ,Manuel Moreira Amorim ,CDS 
Vouzela ,Augusto Santos Guimarães ,PSD 
Angra do Heroísmo ,Rui M. Miranda Mesquita  ,PSD  
Calheta ,Luis N. Pereira Serpa  ,PSD  
Santa Cruz da Graciosa  ,Gui H. Bettencourt Louro  ,PSD  
Velas  ,António T. L. Silveira Loureiro  ,PSD  
Vila Praia da Vitória  ,Anselmo Juliano Cota  ,PSD  
Corvo   ,Luis Fraga Jorge  ,PS  
Horta  ,Augusto Goulart Sequeira  ,PSD  
Lajes das Flores  ,Ângelo Freitas Henriques  ,PS  
Lajes do Pico  ,Manuel Urbano Dutra  ,PSD  
Madalena  ,Manuel Pereira Furtado ,PSD  
Santa Cruz das Flores ,João Manuel Sousa  ,PSD  
São Roque do Pico  ,António Sinas Costa ,PSD  
Lagoa ,Abel da Silva Santos ,PS 
Nordeste  ,Eduardo M. Pacheco Medeiros  ,PSD  
Ponta Delgada  ,Carlos A. Rego Costa  ,PSD  
Povoação  ,António M. Medeiros Ferreira  ,PSD  
Ribeira Grande  ,Artur F. Sousa Martins  ,PSD  
Vila Franca do Campo  ,António D. Carvalho Melo  ,PSD  
Vila do Porto  ,Adriano Ferreira  ,PS  
Calheta  ,Antero Vasconcelos Sousa  ,PSD  
Câmara de Lobos  ,João H. Silva Dantas  ,PSD  
Funchal  ,Virgílio H. Gonçalves Pereira  ,PSD  
Machico  ,Jorge Sousa Gomes  ,PSD  
Ponta do Sol  ,José E. L. Teixeira Pita  ,PSD  
Porto Moniz ,PSD ,David Xavier Gonçalves Canha Jardim 
Porto Santo  ,Jorge E. M. Caldeira Freitas  ,PSD  
Ribeira Brava  ,Luis A. C. Pereira Mendes  ,PSD  
Santa Cruz  ,Manuel P. Gomes Jesus  ,PSD  
Santana  ,Manuel A. Pereira Nóbrega  ,PSD  
São Vicente  ,Gabriel P. Drumond Esmeraldo  ,PSD  
