392,João Manuel Parreira Machado Bettencourt,2010-08-07 00:23:55
393,Luís Filipe Noia Gomes Vieira,2010-08-07 00:23:56
394,Manuel Gil Berquo Ávila,2010-08-07 00:23:57
395,António Crispim Almeida Borges da Ponte,2010-08-07 00:23:58
396,Alberto João Cardoso Gonçalves Jardim,2010-08-07 00:24:00
397,Manuel Filipe Correia de Jesus,2010-08-07 00:24:02
398,Miguel Filipe Machado de Albuquerque,2010-08-07 00:24:03
399,João Carlos Teixeira Baltazar Gomes,2010-08-07 00:24:04
400,Jose Luis Medeiros Gaspar,2010-08-07 00:24:05
401,José Miguel Jardim Olival Mendonça,2010-08-07 00:24:06
402,Carlos Pereira Correia,2010-08-07 00:24:16
403,Joaquim Augusto Teixeira,2010-08-07 00:24:17
404,Carlos Alberto Ferreira,2010-08-07 00:24:18
405,Victorino Fontinha Rodrigues,2010-08-07 00:24:19
406,José Luís Tavares Silva,2010-08-07 00:24:20
407,Antero Gaspar de Paiva Vieira,2010-08-07 00:24:22
408,Vladimiro das Neves Rodrigues da Silva,2010-08-07 00:24:23
409,Helder Oliveira dos Santos Filipe,2010-08-07 00:24:24
410,Manuel Afonso da Silva Strecht Monteiro,2010-08-07 00:24:25
411,Manuel Francisco dos Santos Valente,2010-08-07 00:24:26
412,Aníbal Coelho da Costa,2010-08-07 00:24:27
413,Luís António Pita Ameixa,2010-08-07 00:24:29
414,Joaquim Filipe Mosca,2010-08-07 00:24:30
415,Manuel Antonio Vitorino Mestre,2010-08-07 00:24:32
416,Pedro Nuno Raposo Prazeres do Carmo,2010-08-07 00:24:33
417,Fernando Ribeiro Moniz,2010-08-07 00:24:35
418,António Magalhães da Silva,2010-08-07 00:24:36
419,Joaquim Barroso de Almeida Barreto,2010-08-07 00:24:37
420,Joel Maria da Silva Ferro,2010-08-07 00:24:38
421,Maria do Céu Araújo Martins,2010-08-07 00:24:39
422,António Fernando de Chagas de Sousa Lourenço,2010-08-07 00:24:41
423,Manuel Luís Gomes Vaz,2010-08-07 00:24:43
424,Manuel Alexandre Gouveia Coxo,2010-08-07 00:24:44
425,Nuno Alfredo de Castro,2010-08-07 00:24:45
426,Berta Ferreira Milheiro Nunes,2010-08-07 00:24:46
427,António Júlio Samorinha,2010-08-07 00:24:48
428,Fernando Pereira Serrasqueiro,2010-08-07 00:24:50
429,José Carlos da Cruz Lavrador,2010-08-07 00:24:51
430,Teresa Maria Gonçalves Gil Oliveira Pereira Narciso,2010-08-07 00:24:52
431,João Nuno Marques Carvalhinho,2010-08-07 00:24:54
432,Luís Manuel Martins Seguro,2010-08-07 00:24:55
